Delivery Date,Hour,Consumption-based EF (g CO2e/kWh)
2020-01-01,1,7.633730907181282
2020-01-01,2,7.5685554568985545
2020-01-01,3,7.759827485935868
2020-01-01,4,7.792899429111325
2020-01-01,5,7.811029933954277
2020-01-01,6,7.697167568955499
2020-01-01,7,7.708655365544871
2020-01-01,8,13.88979655190048
2020-01-01,9,15.330040317145649
2020-01-01,10,14.029760148132139
2020-01-01,11,13.13989873540851
2020-01-01,12,12.126173524530461
2020-01-01,13,11.088182183632437
2020-01-01,14,10.83103969590913
2020-01-01,15,10.421739455609405
2020-01-01,16,11.427987338892601
2020-01-01,17,8.029993694078565
2020-01-01,18,6.800770142632498
2020-01-01,19,6.778815031294132
2020-01-01,20,6.949342502565043
2020-01-01,21,7.789742049099182
2020-01-01,22,7.255531395975661
2020-01-01,23,6.965930835512519
2020-01-01,24,7.2354572129837855
2020-01-02,1,7.69481429662975
2020-01-02,2,7.715090781206457
2020-01-02,3,7.790078192875761
2020-01-02,4,7.930449809280723
2020-01-02,5,7.792086860109881
2020-01-02,6,7.689695491669469
2020-01-02,7,7.751131445157396
2020-01-02,8,6.6833726113565985
2020-01-02,9,10.46387585357088
2020-01-02,10,13.788595188312327
2020-01-02,11,11.363076079050066
2020-01-02,12,13.911522488451904
2020-01-02,13,11.71537643647299
2020-01-02,14,13.946367416672402
2020-01-02,15,11.287875625714758
2020-01-02,16,14.001835131003972
2020-01-02,17,8.471554012703436
2020-01-02,18,7.4109858172329
2020-01-02,19,6.553165705653965
2020-01-02,20,6.47123286406832
2020-01-02,21,6.592639009334085
2020-01-02,22,6.7714236274162
2020-01-02,23,6.88111517561247
2020-01-02,24,7.221570192018457
2020-01-03,1,7.54486674391657
2020-01-03,2,7.745822182171558
2020-01-03,3,7.896572166572167
2020-01-03,4,9.102553231462926
2020-01-03,5,9.340749284801266
2020-01-03,6,10.754362267810148
2020-01-03,7,10.641213633949688
2020-01-03,8,11.164075884092734
2020-01-03,9,15.823185798507264
2020-01-03,10,18.323833854265946
2020-01-03,11,25.987769746175978
2020-01-03,12,27.82318601677157
2020-01-03,13,31.127706782024084
2020-01-03,14,36.0598923712294
2020-01-03,15,34.57561736956744
2020-01-03,16,38.83796476368106
2020-01-03,17,39.885203980978595
2020-01-03,18,40.773512530841636
2020-01-03,19,38.74885232601429
2020-01-03,20,38.42174260720222
2020-01-03,21,32.80375814781883
2020-01-03,22,23.299079068393763
2020-01-03,23,17.947900154863397
2020-01-03,24,13.951778506888836
2020-01-04,1,8.843571007616841
2020-01-04,2,7.728264950709072
2020-01-04,3,7.947702964623332
2020-01-04,4,7.8925472850752705
2020-01-04,5,7.9170904419445085
2020-01-04,6,8.043513440414689
2020-01-04,7,7.645729926903929
2020-01-04,8,7.45373858736417
2020-01-04,9,10.275141947187926
2020-01-04,10,11.427930043618524
2020-01-04,11,15.806737785231023
2020-01-04,12,14.222409923795901
2020-01-04,13,15.28919348480544
2020-01-04,14,16.763926692878826
2020-01-04,15,8.824334129667205
2020-01-04,16,8.782698539087047
2020-01-04,17,11.593208822700548
2020-01-04,18,11.396566115887452
2020-01-04,19,11.483782642218763
2020-01-04,20,11.865394652821527
2020-01-04,21,8.562358303303952
2020-01-04,22,8.713617676631902
2020-01-04,23,7.1501568231750126
2020-01-04,24,7.481661583577714
2020-01-05,1,7.397966065876991
2020-01-05,2,7.479402067408689
2020-01-05,3,7.629227139336062
2020-01-05,4,7.475818878494781
2020-01-05,5,7.540208224755225
2020-01-05,6,7.452432151920932
2020-01-05,7,7.5238551418189585
2020-01-05,8,7.550238658626809
2020-01-05,9,10.9632047040325
2020-01-05,10,14.539616596653913
2020-01-05,11,11.182954521794038
2020-01-05,12,10.864792700365584
2020-01-05,13,15.37093118727712
2020-01-05,14,13.27053118908382
2020-01-05,15,15.219243990639317
2020-01-05,16,19.60925059480638
2020-01-05,17,20.71263265302552
2020-01-05,18,16.512042579384623
2020-01-05,19,16.23389808468177
2020-01-05,20,16.264091484328688
2020-01-05,21,12.355601591179703
2020-01-05,22,12.042990375377647
2020-01-05,23,12.535520927796998
2020-01-05,24,12.779180363795748
2020-01-06,1,7.883785346803439
2020-01-06,2,7.111351821820936
2020-01-06,3,7.195018930386229
2020-01-06,4,7.155386042041872
2020-01-06,5,7.081319975242188
2020-01-06,6,7.074836992793142
2020-01-06,7,6.885204004623551
2020-01-06,8,6.408486699370431
2020-01-06,9,9.3475250264977
2020-01-06,10,9.570306527669494
2020-01-06,11,9.635492747121278
2020-01-06,12,9.765811592731701
2020-01-06,13,6.040220615689004
2020-01-06,14,5.623216234130424
2020-01-06,15,5.6528400966928976
2020-01-06,16,5.591191604259005
2020-01-06,17,5.323813480930298
2020-01-06,18,6.160735966652978
2020-01-06,19,6.0469619478195344
2020-01-06,20,6.046374771994575
2020-01-06,21,6.484353250577792
2020-01-06,22,6.4946016949745085
2020-01-06,23,6.845061039068867
